Shares,MeGusta,MeEncanta,MeDivierte,MeAsombra,MeEntristece,MeEnoja
22,17,0,46,0,0,0
21,30,1,24,1,0,2
228,62,2,25,0,0,3
219,141,22,202,1,1,0
62,4,0,0,0,0,0
5,8,0,0,0,1,0
4132,2900,84,2000,27,1,45
4,19,0,26,0,0,10
345,173,31,336,0,3,1
398,190,14,475,2,6,1
8,1,0,6,0,0,1
1,7,0,4,0,0,0
88,22,0,0,0,0,0
5,2,0,3,0,0,0
721,481,19,1400,3,214,1
112,134,34,305,2,0,4
1697,1000,28,3100,107,207,40
36311,816,193,5200,13,2,2
781,1000,133,1900,20,5,1
4306,1300,279,5700,8,4,1
512,266,1100,1000,2,1,4
205,152,21,727,1,0,0
136,102,11,828,1,0,0
104,91,16,586,2,0,1
86,22,0,0,0,0,0
1600,1100,173,1100,15,0,5
699,598,56,1300,20,2,1
3400,2200,999,5400,19,137,4
51,8,1,16,0,0,0
4,5,0,4,0,0,1
10,1,0,6,0,0,0
5,4,0,0,0,0,0
1436,640,0,0,0,0,0
7757,1800,764,3700,7,21,4
626,718,64,1800,8,4,5
47,38,0,92,0,0,0
2677,835,52,3500,6,5,7
17074,9168,2147,13275,36,982,39
231,255,3,847,0,57,0
268,200,19,684,4,0,0
150,208,132,435,2,1,2
46,123,31,417,1,0,3
135,165,9,515,1,0,3
76,41,1,69,1,1,0
0,12,1,21,1,0,0
82,27,0,47,0,1,4
13,13,2,37,3,0,0
